"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato"
1;"62022.jpg";"Lie";2745;"a";62022;"Andreas";"Lie";1;"";45;NA;NA;"0.6";"1.1";0;0;0;0;FALSE;0;"5.5";"2.5";173;322;83;70;0;0;0;0;5;2;"2.5";"3.0";"3.0";FALSE;180;0;0;0;6;0;0;0;0;10;0;0;1;1;2017-04-08
2;"124186.jpg";"Vestly Heigre";2745;"a";124186;"Pål";"Vestly Heigre";23;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.6";"0.0";41;5;16;2;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-04-08
3;"218658.jpg";"Sødergren";2745;"a";218658;"Sondre";"Sødergren";32;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"3.7";"0.0";92;28;38;7;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-04-08
4;"52335.jpg";"Ramsteijn";2745;"a";52335;"Kaj";"Ramsteijn";6;"";50;NA;NA;"0.2";"0.4";0;0;0;0;FALSE;0;"1.6";"1.0";127;12;59;0;0;0;0;0;2;1;"1.0";"1.0";"1.0";FALSE;180;0;0;0;6;0;0;0;0;0;0;0;2;1;2017-04-08
5;"64033.jpg";"Lie";2745;"a";64033;"Oddbjørn";"Lie";5;"";45;NA;NA;"0.1";"0.2";0;0;0;0;FALSE;0;"1.9";"0.5";163;18;79;8;0;0;0;0;1;1;"0.5";"1.0";"1.0";FALSE;180;0;0;0;6;0;0;1;0;0;0;0;2;1;2017-04-08
6;"79464.jpg";"Kirkeskov";2745;"a";79464;"Mikkel";"Kirkeskov";2;"";55;NA;NA;"0.2";"0.4";0;0;0;0;FALSE;0;"2.8";"1.0";308;20;161;2;0;0;0;0;2;1;"1.0";"1.0";"1.0";FALSE;180;0;0;0;6;0;0;0;0;0;0;0;2;1;2017-04-08
7;"98652.jpg";"Mäntylä";2745;"a";98652;"Tero";"Mäntylä";4;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.5";"0.0";60;2;26;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-08
8;"115929.jpg";"Arnarson";2745;"a";115929;"Adam";"Arnarson";22;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.2";"0.0";114;3;52;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;117;0;0;0;5;0;0;1;0;0;0;0;2;1;2017-04-08
9;"115978.jpg";"Grétarsson";2745;"a";115978;"Daníel";"Grétarsson";3;"";49;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;"0.8";"0.0";132;4;61;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;45;0;0;0;2;0;0;0;0;0;0;0;2;1;2017-04-08
10;"206921.jpg";"Barstad";2745;"a";206921;"Joakim";"Barstad";37;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"3.9";"0.0";269;31;118;12;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-08
11;"218660.jpg";"Valderhaug";2745;"a";218660;"Lars";"Valderhaug";35;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.2";"0.0";66;7;31;2;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-08
